Country,Year,Total Water Consumption (Billion Cubic Meters),Per Capita Water Use (Liters per Day),Agricultural Water Use (%),Industrial Water Use (%),Household Water Use (%),Rainfall Impact (Annual Precipitation in mm),Groundwater Depletion Rate (%),Total Water Consumption (Cubic Meters),zscore,Total_Percentage,Per Capita Water Use (m³ per Day),Agricultural Water Use Ratio,Industrial Water Use Ratio,Household Water Use Ratio,Water Stress Index,Water Stress Normalized,Water Scarcity Level
Argentina,2000,481.49,235.4314286,48.55,20.84428571,30.1,1288.698571,3.255714286,481490000000.0,0.2056037974003649,99.49428570999999,0.2354314286,0.4855,0.20844285710000002,0.301,0.37362499721434084,0.40597603882151523,Low Stress
Argentina,2001,455.063,299.551,48.465,26.943,22.55,1371.729,3.12,455063000000.0,0.48093434934865387,97.958,0.299551,0.48465,0.26943,0.2255,0.33174409814183414,0.3444009670433603,Low Stress
Argentina,2002,482.7492308,340.1246154,50.37538462,29.04230769,23.34923077,1590.305385,2.733846154,482749230800.0,0.19248446069191186,102.76692308,0.3401246154,0.5037538462,0.2904230769,0.23349230769999998,0.3035575653288755,0.3029599325963564,Low Stress
Argentina,2003,452.66,326.7566667,49.08666667,30.476,24.44,1816.012667,2.708,452660000000.0,0.5059700823615471,104.00266667,0.3267566667,0.4908666667,0.30476,0.2444,0.24926037589141994,0.22312990480313274,Low Stress
Argentina,2004,634.566,230.346,38.67,36.67,23.924,815.998,1.902,634566000000.0,1.3892234463290123,99.26400000000001,0.230346,0.38670000000000004,0.3667,0.23924,0.7776563177850926,1.0,High Stress
Argentina,2005,458.077,265.012,59.834,29.288,22.649,1826.293,2.724,458077000000.0,0.4495328931269055,111.771,0.265012,0.59834,0.29288000000000003,0.22649,0.2508233892371049,0.2254279132289821,Low Stress
Argentina,2006,452.9833333,111.7083333,54.96166667,29.79166667,28.83166667,1318.923333,3.133333333,452983333300.0,0.5026014239458259,113.58500001,0.1117083333,0.5496166667,0.2979166667,0.2883166667,0.3434493286805777,0.36161049278336843,Low Stress
Argentina,2007,691.1025,192.815,41.655,16.705,20.31,1500.8375,3.5,691102500000.0,1.9782507952609536,78.67,0.192815,0.41655000000000003,0.16704999999999998,0.20309999999999997,0.46047789983925635,0.5336708551150132,Moderate Stress
Argentina,2008,494.048,230.443,60.323,24.483,24.21,1378.952,3.006,494048000000.0,0.07476786932049931,109.01599999999999,0.230443,0.60323,0.24483,0.2421,0.3582778805933782,0.38341205790297167,Low Stress
Argentina,2009,637.8783333,230.6816667,54.91666667,29.05166667,21.21166667,1141.906667,2.356666667,637878333300.0,1.4237330976600635,105.18000001,0.23068166669999998,0.5491666667,0.2905166667,0.21211666669999998,0.5586081172253985,0.6779460572470575,Moderate Stress
Argentina,2010,502.875,216.807,49.325,23.932,25.208,1496.221,2.671,502875000000.0,0.017196514909551184,98.465,0.216807,0.49325,0.23931999999999998,0.25207999999999997,0.33609673971960025,0.3508004050571319,Low Stress
Argentina,2011,535.336875,317.69375,44.3875,29.1575,22.778125,1814.865625,2.955625,535336875000.0,0.35540160671060106,96.323125,0.31769375,0.443875,0.291575,0.22778125,0.2949732848678535,0.29033895985562946,Low Stress
Argentina,2012,556.4116667,248.72,60.31166667,31.94166667,23.425,1428.521667,2.563333333,556411666700.0,0.5749700038406655,115.67833334,0.24872,0.6031166667,0.3194166667,0.23425,0.38950173424285905,0.42931869009653684,Low Stress
Argentina,2013,505.6286667,265.718,48.59933333,32.004,26.01466667,1375.516,3.154,505628666700.0,0.04588568024775158,106.618,0.265718,0.4859933333,0.32004,0.26014666670000003,0.367591992168757,0.39710605926170056,Low Stress
Argentina,2014,558.1611111,314.2377778,50.90888889,24.63111111,25.77444444,1912.69,2.444444444,558161111100.0,0.5931966467534004,101.31444443999999,0.3142377778,0.5090888889,0.24631111109999998,0.2577444444,0.2918199557168176,0.28570280177127144,Low Stress
Argentina,2015,565.115,288.1383333,49.5,22.815,28.52666667,1782.6,2.616666667,565115000000.0,0.6656459625676847,100.84166667,0.2881383333,0.495,0.22815000000000002,0.2852666667,0.3170172781330641,0.32274897247815126,Low Stress
Argentina,2016,467.3180952,322.0538095,49.36190476,28.40238095,22.30761905,1730.01,2.642857143,467318095200.0,0.35325424469830263,100.07190476,0.3220538095,0.4936190476,0.2840238095,0.2230761905,0.2701245051762707,0.2538052314258784,Low Stress
Argentina,2017,477.1978947,265.23,56.49263158,29.68,24.35473684,1665.009474,2.666315789,477197894700.0,0.2503212349176456,110.52736842,0.26523,0.5649263158,0.2968,0.24354736840000002,0.28660371136122437,0.2780336583736575,Low Stress
Argentina,2018,649.13,281.832,54.83,21.261,25.314,1449.102,2.264,649130000000.0,1.5409589501158543,101.405,0.28183199999999997,0.5483,0.21261,0.25314,0.4479532841718526,0.5152566346519082,Moderate Stress
Argentina,2019,484.1566667,268.4022222,55.63555556,34.48444444,26.71888889,1630.764444,2.208888889,484156666700.0,0.17782104436849885,116.83888889,0.2684022222,0.5563555556,0.34484444439999995,0.2671888889,0.29688939348741405,0.29315610390929264,Low Stress
Argentina,2020,582.008,289.554,66.52,28.876,29.846,1455.684,2.092,582008000000.0,0.8416462279804235,125.242,0.289554,0.6652,0.28876,0.29846,0.39981754281835896,0.4444854288140229,Low Stress
Argentina,2021,432.4683333,260.575,52.6775,29.44083333,22.13,2076.763333,2.673333333,432468333300.0,0.7163376131923977,104.24833333,0.260575,0.526775,0.2944083333,0.2213,0.2082415104446569,0.16282223137496202,Low Stress
Argentina,2022,523.8810526,296.7405263,48.51842105,28.50631579,28.09473684,1160.576316,3.015789474,523881052600.0,0.23604875150896765,105.11947368,0.2967405263,0.4851842105,0.2850631579,0.2809473684,0.45139733197864085,0.5203202196180102,Moderate Stress
Argentina,2023,556.765,265.325,40.842,26.099,29.272,1701.795,2.13,556765000000.0,0.5786512182240885,96.213,0.265325,0.40842,0.26099,0.29272,0.32716337749258867,0.33766619751788646,Low Stress
Argentina,2024,647.79,364.3828571,51.20142857,34.14285714,23.52285714,2283.157143,2.285714286,647790000000.0,1.5269981168918516,108.86714285,0.3643828571,0.5120142857,0.3414285714,0.2352285714,0.2837255429334239,0.2738020532396652,Low Stress
Australia,2000,545.04,296.13,54.66375,32.665,21.75625,1549.73125,2.36625,545040000000.0,0.4564939275140687,109.08500000000001,0.29613,0.5466375,0.32665,0.21756250000000002,0.3516996898655815,0.37374052326057483,Low Stress
Australia,2001,448.229,247.556,46.922,23.326,26.132,1554.3,2.698,448229000000.0,0.5521345987910653,96.38,0.247556,0.46921999999999997,0.23326,0.26132,0.28837997812520105,0.2806452010079181,Low Stress
Australia,2002,488.0033333,236.6966667,58.88666667,25.145,26.34166667,1457.325,2.206666667,488003333300.0,0.1377444243155589,110.37333333999999,0.2366966667,0.5888666667,0.25145,0.26341666669999997,0.3348623905443192,0.3489856126159369,Low Stress
Australia,2003,540.81,275.3416667,48.9825,32.625,23.8275,1721.613333,3.324166667,540810000000.0,0.412423536068151,105.435,0.27534166670000004,0.489825,0.32625,0.23827500000000001,0.3141297698116746,0.3185036354369917,Low Stress
Australia,2004,503.8664286,261.0157143,51.07142857,27.65071429,26.55857143,1931.437143,2.214285714,503866428600.0,0.027525745758884095,105.28071429,0.26101571430000003,0.5107142857,0.2765071429,0.2655857143,0.2608764310172531,0.2402083210738504,Low Stress
Australia,2005,503.61,255.9045455,53.11545455,30.74727273,22.64363636,1392.708182,2.252727273,503610000000.0,0.024854136118239115,106.50636364,0.2559045455,0.5311545455000001,0.30747272729999997,0.2264363636,0.36160482612860817,0.3883034741492929,Low Stress
