Country,Year,Policy,Investment (Million USD),Regulations
Argentina,2000,Water conservation policy level 2,4814.9,"['Agriculture', 'Industry', 'Household']"
Argentina,2001,Water conservation policy level 2,4550.63,"['Agriculture', 'Industry', 'Household']"
Argentina,2002,Water conservation policy level 2,4827.49,"['Agriculture', 'Industry', 'Household']"
Argentina,2003,Water conservation policy level 2,4526.6,"['Agriculture', 'Industry', 'Household']"
Argentina,2004,Water conservation policy level 1,6345.66,"['Industry', 'Household']"
Argentina,2005,Water conservation policy level 2,4580.77,"['Agriculture', 'Industry', 'Household']"
Argentina,2006,Water conservation policy level 2,4529.83,"['Agriculture', 'Industry', 'Household']"
Argentina,2007,Water conservation policy level 2,6911.02,"['Agriculture', 'Industry', 'Household']"
Argentina,2008,Water conservation policy level 2,4940.48,"['Agriculture', 'Industry', 'Household']"
Argentina,2009,Water conservation policy level 2,6378.78,"['Agriculture', 'Industry', 'Household']"
Argentina,2010,Water conservation policy level 2,5028.75,"['Agriculture', 'Industry', 'Household']"
Argentina,2011,Water conservation policy level 2,5353.37,"['Agriculture', 'Industry', 'Household']"
Argentina,2012,Water conservation policy level 2,5564.12,"['Agriculture', 'Industry', 'Household']"
Argentina,2013,Water conservation policy level 2,5056.29,"['Agriculture', 'Industry', 'Household']"
Argentina,2014,Water conservation policy level 2,5581.61,"['Agriculture', 'Industry', 'Household']"
Argentina,2015,Water conservation policy level 2,5651.15,"['Agriculture', 'Industry', 'Household']"
Argentina,2016,Water conservation policy level 2,4673.18,"['Agriculture', 'Industry', 'Household']"
Argentina,2017,Water conservation policy level 2,4771.98,"['Agriculture', 'Industry', 'Household']"
Argentina,2018,Water conservation policy level 2,6491.3,"['Agriculture', 'Industry', 'Household']"
Argentina,2019,Water conservation policy level 2,4841.57,"['Agriculture', 'Industry', 'Household']"
Argentina,2020,Water conservation policy level 2,5820.08,"['Agriculture', 'Industry', 'Household']"
Argentina,2021,Water conservation policy level 2,4324.68,"['Agriculture', 'Industry', 'Household']"
Argentina,2022,Water conservation policy level 2,5238.81,"['Agriculture', 'Industry', 'Household']"
Argentina,2023,Water conservation policy level 2,5567.65,"['Agriculture', 'Industry', 'Household']"
Argentina,2024,Water conservation policy level 2,6477.9,"['Agriculture', 'Industry', 'Household']"
Australia,2000,Water conservation policy level 2,5450.4,"['Agriculture', 'Industry', 'Household']"
Australia,2001,Water conservation policy level 2,4482.29,"['Agriculture', 'Industry', 'Household']"
Australia,2002,Water conservation policy level 2,4880.03,"['Agriculture', 'Industry', 'Household']"
Australia,2003,Water conservation policy level 2,5408.1,"['Agriculture', 'Industry', 'Household']"
Australia,2004,Water conservation policy level 2,5038.66,"['Agriculture', 'Industry', 'Household']"
Australia,2005,Water conservation policy level 2,5036.1,"['Agriculture', 'Industry', 'Household']"
Australia,2006,Water conservation policy level 2,4383.76,"['Agriculture', 'Industry', 'Household']"
Australia,2007,Water conservation policy level 2,3769.24,"['Agriculture', 'Industry', 'Household']"
Australia,2008,Water conservation policy level 2,5113.8,"['Agriculture', 'Industry', 'Household']"
Australia,2009,Water conservation policy level 2,4427.99,"['Agriculture', 'Industry', 'Household']"
Australia,2010,Water conservation policy level 2,5561.46,"['Agriculture', 'Industry', 'Household']"
Australia,2011,Water conservation policy level 2,4677.74,"['Agriculture', 'Industry', 'Household']"
Australia,2012,Water conservation policy level 2,4981.66,"['Agriculture', 'Industry', 'Household']"
Australia,2013,Water conservation policy level 2,4265.84,"['Agriculture', 'Industry', 'Household']"
Australia,2014,Water conservation policy level 2,5381.06,"['Agriculture', 'Industry', 'Household']"
Australia,2015,Water conservation policy level 2,5214.07,"['Agriculture', 'Industry', 'Household']"
Australia,2016,Water conservation policy level 2,4467.22,"['Agriculture', 'Industry', 'Household']"
Australia,2017,Water conservation policy level 2,6267.16,"['Agriculture', 'Industry', 'Household']"
Australia,2018,Water conservation policy level 2,6032.99,"['Agriculture', 'Industry', 'Household']"
Australia,2019,Water conservation policy level 2,5480.72,"['Agriculture', 'Industry', 'Household']"
Australia,2020,Water conservation policy level 2,4847.99,"['Agriculture', 'Industry', 'Household']"
Australia,2021,Water conservation policy level 2,6594.51,"['Agriculture', 'Industry', 'Household']"
Australia,2022,Water conservation policy level 2,4776.98,"['Agriculture', 'Industry', 'Household']"
Australia,2023,Water conservation policy level 2,2077.95,"['Agriculture', 'Industry', 'Household']"
Australia,2024,Water conservation policy level 1,6440.05,"['Agriculture', 'Industry', 'Household']"
Brazil,2000,Water conservation policy level 2,5353.03,"['Agriculture', 'Industry', 'Household']"
Brazil,2001,Water conservation policy level 2,6390.09,"['Agriculture', 'Industry', 'Household']"
Brazil,2002,Water conservation policy level 2,4338.75,"['Agriculture', 'Industry', 'Household']"
Brazil,2003,Water conservation policy level 2,6133.6,"['Agriculture', 'Industry', 'Household']"
Brazil,2004,Water conservation policy level 2,5118.84,"['Agriculture', 'Industry', 'Household']"
