Country,Year,Total Water Consumption (Billion Cubic Meters),Per Capita Water Use (Liters per Day),Agricultural Water Use (%),Industrial Water Use (%),Household Water Use (%),Rainfall Impact (Annual Precipitation in mm),Groundwater Depletion Rate (%),CrisisSeverity,MitigationEfforts,Policy,Investment (Million USD),Regulations,consumption_rainfall_ratio,investment_consumption_ratio,groundwater_stress,usage_balance,water_stress_index
Argentina,2000,481.49,235.4314286,48.55,20.84428571,30.1,1288.698571,3.255714286,2,Moderate conservation policies,Water conservation policy level 2,4814.9,"Agriculture, Industry, Household",0.37362499721434084,9.999999999999998,766.4974654664089,99.49428570999999,78.94230692487486
Argentina,2001,455.063,299.551,48.465,26.943,22.55,1371.729,3.12,2,Moderate conservation policies,Water conservation policy level 2,4550.63,"Agriculture, Industry, Household",0.33174409814183414,10.0,934.59912,97.958,94.0808058271038
Argentina,2002,482.7492308,340.1246154,50.37538462,29.04230769,23.34923077,1590.305385,2.733846154,2,Moderate conservation policies,Water conservation policy level 2,4827.49,"Agriculture, Industry, Household",0.3035575653288755,9.999995219049865,929.8483716920191,102.76692308,94.08357292238351
Argentina,2003,452.66,326.7566667,49.08666667,30.476,24.44,1816.012667,2.708,2,Moderate conservation policies,Water conservation policy level 2,4526.6,"Agriculture, Industry, Household",0.24926037589141994,10.0,884.8570534236001,104.00266667,90.10081640631739
Argentina,2004,634.566,230.346,38.67,36.67,23.924,815.998,1.902,1,Moderate conservation policies,Water conservation policy level 1,6345.66,"Industry, Household",0.7776563177850926,10.0,438.118092,99.26400000000001,49.0145225743441
Argentina,2005,458.077,265.012,59.834,29.288,22.649,1826.293,2.724,2,Moderate conservation policies,Water conservation policy level 2,4580.77,"Agriculture, Industry, Household",0.2508233892371049,10.000000000000002,721.892688,111.771,75.99222830811244
Argentina,2006,452.9833333,111.7083333,54.96166667,29.79166667,28.83166667,1318.923333,3.133333333,2,Moderate conservation policies,Water conservation policy level 2,4529.83,"Agriculture, Industry, Household",0.3434493286805777,9.999992642113394,350.01944430276393,113.58500001,42.3589277557847
Argentina,2007,691.1025,192.815,41.655,16.705,20.31,1500.8375,3.5,2,Moderate conservation policies,Water conservation policy level 2,6911.02,"Agriculture, Industry, Household",0.46047789983925635,9.999992765183169,674.8525,78.67,68.7257704652909
Argentina,2008,494.048,230.443,60.323,24.483,24.21,1378.952,3.006,2,Moderate conservation policies,Water conservation policy level 2,4940.48,"Agriculture, Industry, Household",0.3582778805933782,9.999999999999998,692.7116579999999,109.01599999999999,73.09872144369031
Argentina,2009,637.8783333,230.6816667,54.91666667,29.05166667,21.21166667,1141.906667,2.356666667,2,Moderate conservation policies,Water conservation policy level 2,6378.78,"Agriculture, Industry, Household",0.5586081172253985,9.999994774865634,543.6397945998939,105.18000001,59.21624655817856
Argentina,2010,502.875,216.807,49.325,23.932,25.208,1496.221,2.671,2,Moderate conservation policies,Water conservation policy level 2,5028.75,"Agriculture, Industry, Household",0.33609673971960025,10.0,579.0914969999999,98.465,61.80841761270177
Argentina,2011,535.336875,317.69375,44.3875,29.1575,22.778125,1814.865625,2.955625,2,Moderate conservation policies,Water conservation policy level 2,5353.37,"Agriculture, Industry, Household",0.2949732848678535,10.000002334978326,938.98358984375,96.323125,94.32740617056079
Argentina,2012,556.4116667,248.72,60.31166667,31.94166667,23.425,1428.521667,2.563333333,2,Moderate conservation policies,Water conservation policy level 2,5564.12,"Agriculture, Industry, Household",0.38950173424285905,10.00000599016915,637.55226658376,115.67833334,68.69269910701054
Argentina,2013,505.6286667,265.718,48.59933333,32.004,26.01466667,1375.516,3.154,2,Moderate conservation policies,Water conservation policy level 2,5056.29,"Agriculture, Industry, Household",0.367591992168757,10.000006591793978,838.074572,106.618,86.09632695117448
