Country,Year,CrisisSeverity,MitigationEfforts
Argentina,2000,Medium,Moderate conservation policies
Argentina,2001,Medium,Moderate conservation policies
Argentina,2002,Medium,Moderate conservation policies
Argentina,2003,Medium,Moderate conservation policies
Argentina,2004,Low,Moderate conservation policies
Argentina,2005,Medium,Moderate conservation policies
Argentina,2006,Medium,Moderate conservation policies
Argentina,2007,Medium,Moderate conservation policies
Argentina,2008,Medium,Moderate conservation policies
Argentina,2009,Medium,Moderate conservation policies
Argentina,2010,Medium,Moderate conservation policies
Argentina,2011,Medium,Moderate conservation policies
Argentina,2012,Medium,Moderate conservation policies
Argentina,2013,Medium,Moderate conservation policies
Argentina,2014,Medium,Moderate conservation policies
Argentina,2015,Medium,Moderate conservation policies
Argentina,2016,Medium,Moderate conservation policies
Argentina,2017,Medium,Moderate conservation policies
Argentina,2018,Medium,Moderate conservation policies
Argentina,2019,Medium,Moderate conservation policies
Argentina,2020,Medium,Moderate conservation policies
Argentina,2021,Medium,Moderate conservation policies
Argentina,2022,Medium,Moderate conservation policies
Argentina,2023,Medium,Moderate conservation policies
Argentina,2024,Medium,Moderate conservation policies
Australia,2000,Medium,Moderate conservation policies
Australia,2001,Medium,Moderate conservation policies
Australia,2002,Medium,Moderate conservation policies
Australia,2003,Medium,Moderate conservation policies
Australia,2004,Medium,Moderate conservation policies
Australia,2005,Medium,Moderate conservation policies
Australia,2006,Medium,Moderate conservation policies
Australia,2007,Medium,Moderate conservation policies
Australia,2008,Medium,Moderate conservation policies
Australia,2009,Medium,Moderate conservation policies
Australia,2010,Medium,Moderate conservation policies
Australia,2011,Medium,Moderate conservation policies
Australia,2012,Medium,Moderate conservation policies
Australia,2013,Medium,Moderate conservation policies
Australia,2014,Medium,Moderate conservation policies
Australia,2015,Medium,Moderate conservation policies
Australia,2016,Medium,Moderate conservation policies
Australia,2017,Medium,Moderate conservation policies
Australia,2018,Medium,Moderate conservation policies
Australia,2019,Medium,Moderate conservation policies
Australia,2020,Medium,Moderate conservation policies
Australia,2021,Medium,Moderate conservation policies
Australia,2022,Medium,Moderate conservation policies
Australia,2023,Medium,Moderate conservation policies
Australia,2024,Low,Moderate conservation policies
Brazil,2000,Medium,Moderate conservation policies
Brazil,2001,Medium,Moderate conservation policies
Brazil,2002,Medium,Moderate conservation policies
Brazil,2003,Medium,Moderate conservation policies
Brazil,2004,Medium,Moderate conservation policies
Brazil,2005,Medium,Moderate conservation policies
Brazil,2006,Medium,Moderate conservation policies
Brazil,2007,Medium,Moderate conservation policies
Brazil,2008,Medium,Moderate conservation policies
Brazil,2009,Medium,Moderate conservation policies
Brazil,2010,Low,Moderate conservation policies
Brazil,2011,Medium,Moderate conservation policies
Brazil,2012,Medium,Moderate conservation policies
Brazil,2013,Medium,Moderate conservation policies
Brazil,2014,Medium,Moderate conservation policies
Brazil,2015,Low,Moderate conservation policies
Brazil,2016,Medium,Moderate conservation policies
Brazil,2017,Medium,Moderate conservation policies
Brazil,2018,Medium,Moderate conservation policies
Brazil,2019,Medium,Moderate conservation policies
Brazil,2020,Medium,Moderate conservation policies
Brazil,2021,Medium,Moderate conservation policies
Brazil,2022,Medium,Moderate conservation policies
Brazil,2023,Low,Moderate conservation policies
Brazil,2024,Medium,Moderate conservation policies
Canada,2000,Medium,Moderate conservation policies
Canada,2001,Medium,Moderate conservation policies
Canada,2002,Medium,Moderate conservation policies
Canada,2003,Medium,Moderate conservation policies
Canada,2004,Medium,Moderate conservation policies
Canada,2005,Medium,Moderate conservation policies
Canada,2006,Medium,Moderate conservation policies
Canada,2007,Low,Moderate conservation policies
Canada,2008,Medium,Moderate conservation policies
Canada,2009,Medium,Moderate conservation policies
Canada,2010,Medium,Moderate conservation policies
Canada,2011,Medium,Moderate conservation policies
Canada,2012,Medium,Moderate conservation policies
Canada,2013,Medium,Moderate conservation policies
Canada,2014,Medium,Moderate conservation policies
Canada,2015,Medium,Moderate conservation policies
Canada,2016,Medium,Moderate conservation policies
Canada,2017,Medium,Moderate conservation policies
Canada,2018,Medium,Moderate conservation policies
Canada,2019,Medium,Moderate conservation policies
Canada,2020,Medium,Moderate conservation policies
Canada,2021,Medium,Moderate conservation policies
Canada,2022,Medium,Moderate conservation policies
Canada,2023,Medium,Moderate conservation policies
Canada,2024,Medium,Moderate conservation policies
China,2000,Medium,Moderate conservation policies
China,2001,Medium,Moderate conservation policies
China,2002,Medium,Moderate conservation policies
China,2003,Medium,Moderate conservation policies
China,2004,Medium,Moderate conservation policies
China,2005,Medium,Moderate conservation policies
China,2006,Medium,Moderate conservation policies
China,2007,Medium,Moderate conservation policies
China,2008,Medium,Moderate conservation policies
China,2009,Medium,Moderate conservation policies
China,2010,Low,Moderate conservation policies
China,2011,Medium,Moderate conservation policies
China,2012,Medium,Moderate conservation policies
China,2013,Low,Moderate conservation policies
China,2014,Medium,Moderate conservation policies
China,2015,Medium,Moderate conservation policies
China,2016,Medium,Moderate conservation policies
China,2017,Medium,Moderate conservation policies
China,2018,Medium,Moderate conservation policies
China,2019,Medium,Moderate conservation policies
China,2020,Medium,Moderate conservation policies
China,2021,Medium,Moderate conservation policies
China,2022,Medium,Moderate conservation policies
China,2023,Medium,Moderate conservation policies
China,2024,Medium,Moderate conservation policies
France,2000,Medium,Moderate conservation policies
France,2001,Medium,Moderate conservation policies
France,2002,Medium,Moderate conservation policies
France,2003,Medium,Moderate conservation policies
France,2004,Low,Moderate conservation policies
France,2005,Medium,Moderate conservation policies
France,2006,Medium,Moderate conservation policies
France,2007,Medium,Moderate conservation policies
France,2008,Medium,Moderate conservation policies
France,2009,Low,Moderate conservation policies
France,2010,Medium,Moderate conservation policies
France,2011,Medium,Moderate conservation policies
France,2012,Medium,Moderate conservation policies
France,2013,Medium,Moderate conservation policies
France,2014,Medium,Moderate conservation policies
France,2015,Medium,Moderate conservation policies
France,2016,Medium,Moderate conservation policies
France,2017,Medium,Moderate conservation policies
France,2018,Medium,Moderate conservation policies
France,2019,Medium,Moderate conservation policies
France,2020,Low,Moderate conservation policies
France,2021,Medium,Moderate conservation policies
France,2022,Medium,Moderate conservation policies
France,2023,Medium,Moderate conservation policies
France,2024,Medium,Moderate conservation policies
