Country,Year,Policy,Investment (Million USD),Regulations
Argentina,2000,2.0,4814.9,"['Agriculture', 'Industry', 'Household']"
Argentina,2001,2.0,4550.63,"['Agriculture', 'Industry', 'Household']"
Argentina,2002,2.0,4827.49,"['Agriculture', 'Industry', 'Household']"
Argentina,2003,2.0,4526.6,"['Agriculture', 'Industry', 'Household']"
Argentina,2004,1.0,6345.66,"['Industry', 'Household']"
Argentina,2005,2.0,4580.77,"['Agriculture', 'Industry', 'Household']"
Argentina,2006,2.0,4529.83,"['Agriculture', 'Industry', 'Household']"
Argentina,2007,2.0,6911.02,"['Agriculture', 'Industry', 'Household']"
Argentina,2008,2.0,4940.48,"['Agriculture', 'Industry', 'Household']"
Argentina,2009,2.0,6378.78,"['Agriculture', 'Industry', 'Household']"
Argentina,2010,2.0,5028.75,"['Agriculture', 'Industry', 'Household']"
Argentina,2011,2.0,5353.37,"['Agriculture', 'Industry', 'Household']"
Argentina,2012,2.0,5564.12,"['Agriculture', 'Industry', 'Household']"
Argentina,2013,2.0,5056.29,"['Agriculture', 'Industry', 'Household']"
Argentina,2014,2.0,5581.61,"['Agriculture', 'Industry', 'Household']"
Argentina,2015,2.0,5651.15,"['Agriculture', 'Industry', 'Household']"
Argentina,2016,2.0,4673.18,"['Agriculture', 'Industry', 'Household']"
Argentina,2017,2.0,4771.98,"['Agriculture', 'Industry', 'Household']"
Argentina,2018,2.0,6491.3,"['Agriculture', 'Industry', 'Household']"
Argentina,2019,2.0,4841.57,"['Agriculture', 'Industry', 'Household']"
Argentina,2020,2.0,5820.08,"['Agriculture', 'Industry', 'Household']"
Argentina,2021,2.0,4324.68,"['Agriculture', 'Industry', 'Household']"
Argentina,2022,2.0,5238.81,"['Agriculture', 'Industry', 'Household']"
Argentina,2023,2.0,5567.65,"['Agriculture', 'Industry', 'Household']"
Argentina,2024,2.0,6477.9,"['Agriculture', 'Industry', 'Household']"
Australia,2000,2.0,5450.4,"['Agriculture', 'Industry', 'Household']"
Australia,2001,2.0,4482.29,"['Agriculture', 'Industry', 'Household']"
Australia,2002,2.0,4880.03,"['Agriculture', 'Industry', 'Household']"
Australia,2003,2.0,5408.1,"['Agriculture', 'Industry', 'Household']"
Australia,2004,2.0,5038.66,"['Agriculture', 'Industry', 'Household']"
Australia,2005,2.0,5036.1,"['Agriculture', 'Industry', 'Household']"
Australia,2006,2.0,4383.76,"['Agriculture', 'Industry', 'Household']"
Australia,2007,2.0,3769.24,"['Agriculture', 'Industry', 'Household']"
Australia,2008,2.0,5113.8,"['Agriculture', 'Industry', 'Household']"
Australia,2009,2.0,4427.99,"['Agriculture', 'Industry', 'Household']"
Australia,2010,2.0,5561.46,"['Agriculture', 'Industry', 'Household']"
Australia,2011,2.0,4677.74,"['Agriculture', 'Industry', 'Household']"
Australia,2012,2.0,4981.66,"['Agriculture', 'Industry', 'Household']"
Australia,2013,2.0,4265.84,"['Agriculture', 'Industry', 'Household']"
Australia,2014,2.0,5381.06,"['Agriculture', 'Industry', 'Household']"
Australia,2015,2.0,5214.07,"['Agriculture', 'Industry', 'Household']"
Australia,2016,2.0,4467.22,"['Agriculture', 'Industry', 'Household']"
Australia,2017,2.0,6267.16,"['Agriculture', 'Industry', 'Household']"
Australia,2018,2.0,6032.99,"['Agriculture', 'Industry', 'Household']"
Australia,2019,2.0,5480.72,"['Agriculture', 'Industry', 'Household']"
Australia,2020,2.0,4847.99,"['Agriculture', 'Industry', 'Household']"
Australia,2021,2.0,6594.51,"['Agriculture', 'Industry', 'Household']"
Australia,2022,2.0,4776.98,"['Agriculture', 'Industry', 'Household']"
Australia,2023,2.0,2077.95,"['Agriculture', 'Industry', 'Household']"
Australia,2024,1.0,6440.05,"['Agriculture', 'Industry', 'Household']"
Brazil,2000,2.0,5353.03,"['Agriculture', 'Industry', 'Household']"
Brazil,2001,2.0,6390.09,"['Agriculture', 'Industry', 'Household']"
Brazil,2002,2.0,4338.75,"['Agriculture', 'Industry', 'Household']"
Brazil,2003,2.0,6133.6,"['Agriculture', 'Industry', 'Household']"
Brazil,2004,2.0,5118.84,"['Agriculture', 'Industry', 'Household']"
Brazil,2005,2.0,5606.27,"['Agriculture', 'Industry', 'Household']"
Brazil,2006,2.0,7813.43,"['Agriculture', 'Industry', 'Household']"
Brazil,2007,2.0,6428.58,"['Agriculture', 'Industry', 'Household']"
Brazil,2008,2.0,6655.02,"['Agriculture', 'Industry', 'Household']"
Brazil,2009,2.0,4987.07,"['Agriculture', 'Industry', 'Household']"
Brazil,2010,1.0,3370.37,"['Agriculture', 'Industry', 'Household']"
Brazil,2011,2.0,4835.82,"['Agriculture', 'Industry', 'Household']"
Brazil,2012,2.0,4690.25,"['Industry', 'Household']"
Brazil,2013,2.0,5627.41,"['Agriculture', 'Industry', 'Household']"
Brazil,2014,2.0,5591.12,"['Agriculture', 'Industry', 'Household']"
Brazil,2015,1.0,5745.82,"['Agriculture', 'Industry', 'Household']"
Brazil,2016,2.0,5017.92,"['Agriculture', 'Industry', 'Household']"
Brazil,2017,2.0,5745.63,"['Agriculture', 'Industry', 'Household']"
Brazil,2018,2.0,2871.57,"['Agriculture', 'Industry', 'Household']"
Brazil,2019,2.0,4978.66,"['Agriculture', 'Industry', 'Household']"
Brazil,2020,2.0,5530.54,"['Agriculture', 'Industry', 'Household']"
Brazil,2021,2.0,4571.4,"['Agriculture', 'Industry', 'Household']"
Brazil,2022,2.0,4177.48,"['Agriculture', 'Industry', 'Household']"
Brazil,2023,1.0,6882.32,"['Industry', 'Household']"
Brazil,2024,2.0,4171.89,"['Agriculture', 'Industry', 'Household']"
Canada,2000,2.0,3825.15,"['Agriculture', 'Industry', 'Household']"
Canada,2001,2.0,3368.31,"['Agriculture', 'Industry', 'Household']"
Canada,2002,2.0,5234.34,"['Agriculture', 'Industry', 'Household']"
Canada,2003,2.0,3463.24,"['Agriculture', 'Industry', 'Household']"
Canada,2004,2.0,3970.45,"['Agriculture', 'Industry', 'Household']"
Canada,2005,2.0,5118.32,"['Agriculture', 'Industry', 'Household']"
Canada,2006,2.0,7484.23,"['Agriculture', 'Industry', 'Household']"
Canada,2007,1.0,5726.07,"['Agriculture', 'Industry', 'Household']"
Canada,2008,2.0,5227.74,"['Agriculture', 'Industry', 'Household']"
Canada,2009,2.0,3614.27,"['Agriculture', 'Industry', 'Household']"
Canada,2010,2.0,5323.5,"['Agriculture', 'Industry', 'Household']"
Canada,2011,2.0,5389.31,"['Agriculture', 'Industry', 'Household']"
Canada,2012,2.0,4786.84,"['Agriculture', 'Industry', 'Household']"
Canada,2013,2.0,4606.66,"['Agriculture', 'Industry', 'Household']"
Canada,2014,2.0,5638.89,"['Agriculture', 'Industry', 'Household']"
Canada,2015,No Policy,3672.32,"['Agriculture', 'Industry', 'Household']"
Canada,2016,2.0,5683.62,"['Agriculture', 'Industry', 'Household']"
Canada,2017,2.0,3861.37,"['Agriculture', 'Industry', 'Household']"
Canada,2018,2.0,5638.36,"['Agriculture', 'Industry', 'Household']"
Canada,2019,2.0,5456.14,"['Agriculture', 'Industry', 'Household']"
Canada,2020,2.0,4451.36,"['Agriculture', 'Industry', 'Household']"
Canada,2021,2.0,5972.78,"['Agriculture', 'Industry', 'Household']"
Canada,2022,2.0,4706.8,"['Agriculture', 'Industry', 'Household']"
Canada,2023,2.0,6537.09,"['Agriculture', 'Industry', 'Household']"
Canada,2024,2.0,4769.77,"['Agriculture', 'Industry', 'Household']"
China,2000,2.0,6810.28,"['Agriculture', 'Industry', 'Household']"
China,2001,2.0,6118.1,"['Agriculture', 'Industry', 'Household']"
China,2002,2.0,4407.05,"['Agriculture', 'Industry', 'Household']"
China,2003,2.0,5602.17,"['Agriculture', 'Industry', 'Household']"
China,2004,2.0,7984.18,"['Agriculture', 'Industry', 'Household']"
China,2005,2.0,5617.11,"['Agriculture', 'Industry', 'Household']"
China,2006,2.0,4555.55,"['Agriculture', 'Industry', 'Household']"
China,2007,2.0,4625.01,"['Agriculture', 'Industry', 'Household']"
China,2008,2.0,5584.95,"['Agriculture', 'Industry', 'Household']"
China,2009,2.0,3836.79,"['Agriculture', 'Industry', 'Household']"
China,2010,1.0,5576.53,"['Agriculture', 'Industry', 'Household']"
China,2011,2.0,5788.9,"['Agriculture', 'Industry', 'Household']"
China,2012,2.0,5426.23,"['Agriculture', 'Industry', 'Household']"
China,2013,1.0,5435.7,"['Agriculture', 'Industry', 'Household']"
China,2014,2.0,6243.16,"['Agriculture', 'Industry', 'Household']"
China,2015,2.0,3474.68,"['Agriculture', 'Industry', 'Household']"
China,2016,2.0,5242.09,"['Agriculture', 'Industry', 'Household']"
China,2017,2.0,5251.93,"['Agriculture', 'Industry', 'Household']"
China,2018,2.0,5101.58,"['Agriculture', 'Industry', 'Household']"
China,2019,2.0,6079.22,"['Agriculture', 'Industry', 'Household']"
China,2020,2.0,4154.81,"['Agriculture', 'Industry', 'Household']"
China,2021,2.0,4361.33,"['Agriculture', 'Industry', 'Household']"
China,2022,2.0,5285.47,"['Agriculture', 'Industry', 'Household']"
China,2023,2.0,3699.89,"['Agriculture', 'Industry', 'Household']"
China,2024,2.0,5073.25,"['Agriculture', 'Industry', 'Household']"
France,2000,2.0,4889.34,"['Agriculture', 'Industry', 'Household']"
